Exterior1st,MSSubClass,Neighborhood,OverallQual,BsmtQual,HeatingQC,FullBath,TotRmsAbvGrd,GarageFinish,GarageCars,YearBuilt,GarageYrBlt,YrSold,SalePrice
HdBoard,60,SawyerW,7,Gd,Gd,2,8,RFn,3,1990,1990,2007,225000
MetalSd,50,IDOTRR,6,TA,TA,1,6,NA,0,1920,NA,2008,89500
VinylSd,30,Edwards,4,TA,Ex,1,4,Unf,2,1940,1961,2009,82500
VinylSd,20,NridgHt,9,Ex,Ex,2,8,Fin,3,2003,2003,2006,360000
HdBoard,60,Gilbert,6,Gd,Gd,2,6,Fin,2,1993,1993,2006,165600
VinylSd,20,NAmes,6,TA,Ex,1,5,Unf,1,1948,1948,2009,132000
MetalSd,190,OldTown,5,Gd,TA,1,5,Unf,2,1939,1939,2006,119900
BrkFace,20,Timber,7,Gd,TA,2,8,RFn,2,1965,1965,2009,375000
Wd Sdng,70,OldTown,7,TA,Ex,1,6,Unf,2,1925,1925,2006,178000
VinylSd,60,Gilbert,7,Gd,Ex,2,6,Fin,2,2004,2004,2009,188500
CemntBd,60,NWAmes,7,Gd,TA,2,10,RFn,2,1980,1983,2009,260000
VinylSd,60,Somerst,8,Gd,Ex,2,8,RFn,3,2006,2006,2007,270000
HdBoard,60,NoRidge,7,Gd,Ex,2,9,RFn,3,1993,1993,2009,260000
Plywood,80,NWAmes,7,Gd,TA,2,6,Unf,2,1980,1980,2009,187500
VinylSd,60,NridgHt,9,Ex,Ex,3,9,RFn,3,2006,2006,2006,342643
VinylSd,60,NridgHt,8,Ex,Ex,2,10,Fin,3,2004,2004,2007,354000
Plywood,60,SawyerW,7,TA,Ex,2,8,Fin,2,1986,1987,2007,301000
VinylSd,20,OldTown,3,TA,Ex,1,6,Unf,1,1955,1955,2006,126175
Wd Sdng,80,NAmes,7,Gd,Ex,2,11,Fin,2,1967,1961,2010,242000
MetalSd,45,IDOTRR,5,TA,Po,1,5,Unf,2,1941,1941,2007,87000
BrkFace,120,Veenker,8,Gd,Ex,1,6,Fin,2,1993,1993,2008,324000
Wd Sdng,20,NAmes,6,TA,TA,1,7,RFn,1,1960,1960,2006,145250
Wd Sdng,75,BrkSide,6,TA,Gd,2,10,Unf,2,1916,1930,2009,214500
Wd Sdng,70,IDOTRR,5,TA,TA,1,6,Unf,1,1920,1920,2009,78000
HdBoard,90,NAmes,5,TA,TA,2,10,Unf,1,1964,2002,2007,119000
Wd Sdng,20,NAmes,5,TA,Fa,1,6,RFn,1,1958,1958,2007,139000
VinylSd,20,NridgHt,8,Gd,Ex,2,7,RFn,3,2003,2003,2009,284000
VinylSd,120,NridgHt,7,Gd,Ex,2,6,RFn,2,2004,2004,2008,207000
VinylSd,60,Gilbert,6,Gd,Gd,2,7,Fin,2,1998,1998,2008,192000
Plywood,190,Timber,5,TA,Ex,2,7,Fin,2,1965,1965,2008,228950
VinylSd,20,StoneBr,9,Ex,Ex,2,8,Fin,3,2005,2005,2007,377426
VinylSd,20,CollgCr,7,Gd,Ex,2,7,RFn,2,2002,2002,2008,214000
Wd Sdng,20,NWAmes,7,Gd,Ex,2,8,RFn,2,1984,1984,2006,202500
Wd Sdng,20,NAmes,6,TA,TA,1,6,Unf,1,1958,1958,2009,155000
VinylSd,60,Timber,8,Gd,Ex,2,9,Fin,2,2002,2002,2010,202900
Wd Sdng,20,SawyerW,4,TA,Gd,1,4,Unf,1,1950,1950,2009,82000
Stucco,90,NAmes,3,NA,Fa,2,6,Unf,2,1949,1949,2006,87500
MetalSd,120,NridgHt,9,Ex,Ex,2,6,RFn,2,2005,2005,2008,266000
CemntBd,160,MeadowV,5,Gd,TA,1,4,Unf,1,1976,1976,2010,85000
MetalSd,50,BrkSide,6,TA,Gd,1,6,Unf,1,1939,1939,2006,140200
MetalSd,20,NAmes,6,TA,TA,1,5,RFn,1,1960,1960,2007,151500
Wd Sdng,20,NAmes,6,TA,Ex,2,6,Unf,2,1960,1960,2009,157500
VinylSd,160,NridgHt,7,Gd,Ex,2,6,RFn,2,2003,2003,2008,154000
CemntBd,60,NridgHt,9,Ex,Ex,2,10,Fin,3,2005,2006,2006,437154
MetalSd,120,NridgHt,9,Ex,Ex,2,6,RFn,2,2007,2007,2007,318061
Wd Sdng,120,ClearCr,7,Gd,Gd,1,6,RFn,2,1986,1986,2006,190000
VinylSd,50,Edwards,5,TA,TA,1,5,Unf,1,1941,1941,2008,95000
VinylSd,30,OldTown,6,TA,Gd,1,5,Unf,2,1928,2005,2010,105900
Wd Sdng,50,SWISU,6,TA,Ex,1,6,Unf,1,1940,1940,2006,140000
VinylSd,20,CollgCr,6,Gd,Ex,2,6,RFn,2,1995,1995,2007,177500
HdBoard,20,Gilbert,6,Gd,Gd,2,6,RFn,2,1992,1992,2009,173000
CemntBd,120,MeadowV,5,Gd,TA,1,6,Fin,2,1976,1976,2007,134000
Wd Sdng,80,ClearCr,5,TA,Ex,1,6,Unf,1,1958,1958,2006,130000
VinylSd,60,NoRidge,8,Gd,Ex,2,7,RFn,2,1998,1998,2006,280000
VinylSd,85,Mitchel,6,Gd,Ex,1,5,RFn,2,1978,1978,2007,156000
MetalSd,50,BrkSide,5,TA,Gd,1,8,Unf,1,1940,1940,2008,145000
HdBoard,85,Edwards,7,NA,Ex,3,7,RFn,2,2003,2003,2009,198500
HdBoard,160,BrDale,6,TA,Gd,1,5,Unf,1,1972,1972,2009,118000
HdBoard,60,NWAmes,6,Gd,TA,2,6,Fin,2,1976,1976,2006,190000
VinylSd,70,IDOTRR,5,TA,Gd,1,6,Unf,1,1920,1964,2009,147000
Plywood,20,NAmes,6,Gd,Gd,1,6,RFn,2,1963,1963,2009,159000
Plywood,80,NAmes,6,Gd,Gd,1,6,RFn,1,1962,1962,2008,165000
HdBoard,20,NAmes,5,TA,Gd,1,7,Fin,1,1954,1954,2010,132000
Wd Sdng,20,NAmes,5,TA,Ex,1,7,Fin,2,1959,1997,2010,162000
VinylSd,60,Gilbert,6,Gd,Ex,2,7,RFn,2,2000,2000,2006,172400
WdShing,50,ClearCr,4,NA,TA,2,7,Fin,2,1959,1991,2008,134432
Plywood,120,SawyerW,6,Gd,TA,1,4,Unf,1,1984,1984,2010,125000
MetalSd,20,NAmes,5,TA,TA,1,5,Unf,1,1953,1953,2009,123000
VinylSd,60,CollgCr,7,Gd,Ex,2,8,Fin,2,2003,2003,2007,219500
Wd Sdng,30,Edwards,1,Fa,Gd,0,4,NA,0,1922,NA,2009,61000
VinylSd,85,CollgCr,5,Gd,Ex,1,5,Unf,2,1996,1998,2006,148000
CemntBd,60,Somerst,8,Gd,Ex,3,8,RFn,2,2004,2004,2007,340000
VinylSd,20,StoneBr,9,Ex,Ex,1,8,Fin,3,2010,2010,2010,394432
VinylSd,60,Gilbert,6,Gd,Ex,2,7,Fin,2,2000,2000,2009,179000
BrkFace,50,SWISU,5,TA,TA,2,6,Unf,1,1924,1924,2010,127000
VinylSd,20,Somerst,7,Gd,Ex,2,5,RFn,2,2006,2006,2006,187750
VinylSd,60,CollgCr,7,Gd,Ex,2,8,RFn,2,2006,2006,2007,213500
Wd Sdng,45,SawyerW,6,Fa,TA,1,5,Unf,2,1928,1950,2009,76000
HdBoard,60,ClearCr,6,Gd,Ex,2,9,Fin,2,1992,1992,2007,240000
VinylSd,120,Blmngtn,8,Gd,Ex,2,6,Fin,2,2004,2004,2010,192000
Wd Sdng,50,Edwards,5,TA,TA,1,8,NA,0,1910,NA,2006,81000
MetalSd,80,Edwards,6,TA,Ex,1,6,Unf,1,1976,1977,2009,125000
VinylSd,20,CollgCr,7,Gd,Ex,2,6,RFn,2,1999,1999,2008,191000
VinylSd,60,NridgHt,10,Ex,Ex,2,9,Fin,3,2007,2008,2008,426000
MetalSd,50,Edwards,5,TA,Ex,1,7,Unf,1,1900,1978,2008,119000
VinylSd,60,Mitchel,6,Ex,Ex,2,7,Fin,2,2001,2001,2009,215000
MetalSd,20,NAmes,5,NA,TA,1,5,RFn,1,1959,1959,2007,106500
WdShing,30,BrkSide,4,TA,TA,1,4,NA,0,1941,NA,2006,100000
MetalSd,50,OldTown,5,TA,Gd,1,5,Unf,1,1940,1940,2007,109000
Wd Sdng,20,Edwards,5,TA,TA,1,6,Unf,1,1956,1956,2010,129000
MetalSd,20,CollgCr,5,TA,TA,1,6,RFn,2,1972,1985,2009,123000
VinylSd,60,NAmes,5,TA,TA,2,8,RFn,1,1962,1962,2007,169500
MetalSd,30,IDOTRR,5,Fa,Gd,1,6,Unf,1,1920,1920,2007,67000
CemntBd,60,Somerst,7,Gd,Ex,2,7,Fin,2,2006,2007,2009,241000
BrkFace,120,Veenker,8,Gd,Ex,1,4,Fin,2,1996,1996,2008,245500
VinylSd,20,CollgCr,7,Gd,Ex,2,6,Fin,2,2005,2005,2006,164990
Wd Sdng,30,Sawyer,5,TA,Ex,1,4,Unf,1,1940,1940,2008,108000
VinylSd,60,NoRidge,8,Gd,Gd,2,10,Fin,2,1998,1998,2006,258000
MetalSd,60,Gilbert,6,Gd,Gd,2,7,Fin,2,1995,1995,2007,168000
Plywood,20,Sawyer,4,TA,Ex,2,8,Unf,2,1976,1993,2009,150000
MetalSd,50,SWISU,6,TA,Ex,1,6,Unf,1,1936,1936,2008,115000
Wd Sdng,70,Crawfor,6,Gd,Ex,2,8,Unf,1,1915,1960,2008,177000
VinylSd,60,NridgHt,7,Ex,Ex,2,9,RFn,3,2006,2006,2007,280000
VinylSd,60,Somerst,8,Ex,Ex,2,8,Fin,3,2007,2008,2008,339750
BrkComm,20,Edwards,5,TA,TA,1,5,Unf,1,1958,1958,2009,60000
Wd Sdng,190,Gilbert,5,TA,TA,1,5,Fin,2,1955,1955,2006,145000
MetalSd,20,Somerst,7,Ex,Ex,2,7,Fin,2,2009,2009,2010,222000
WdShing,30,OldTown,5,TA,Gd,1,5,Unf,2,1927,1927,2010,115000
VinylSd,60,SawyerW,7,Gd,Ex,2,9,Unf,3,1993,1993,2008,228000
VinylSd,20,Gilbert,7,Gd,Ex,2,6,Fin,2,2007,2007,2007,181134
HdBoard,60,Sawyer,6,TA,TA,1,6,Fin,2,1978,1978,2006,149500
Wd Sdng,70,Crawfor,6,Gd,TA,2,10,Unf,3,1918,1918,2007,239000
MetalSd,50,Edwards,5,TA,Fa,1,7,Unf,1,1940,1940,2007,126000
VinylSd,20,NAmes,5,TA,Ex,1,6,Unf,1,1968,1968,2010,142000
VinylSd,90,Mitchel,7,Gd,Ex,2,8,Fin,4,1997,1997,2008,206300
CemntBd,20,NWAmes,6,Gd,Gd,2,8,Fin,2,1977,1977,2009,215000
HdBoard,20,Mitchel,5,TA,Ex,1,4,RFn,2,1954,1954,2008,113000
VinylSd,60,NoRidge,8,Gd,Gd,2,8,Fin,3,1998,1998,2008,315000
Wd Sdng,20,NAmes,6,Gd,Gd,1,6,RFn,1,1956,1956,2008,139000
HdBoard,60,OldTown,7,TA,Gd,1,6,Unf,1,1946,1947,2009,135000
Wd Sdng,80,SawyerW,7,Gd,Gd,2,5,Fin,2,1989,1989,2009,275000
MetalSd,20,NAmes,4,TA,Ex,1,5,Unf,1,1957,1964,2008,109008
VinylSd,20,CollgCr,7,Gd,Ex,2,6,RFn,2,2007,2007,2007,195400
HdBoard,20,Timber,6,Gd,TA,2,6,Unf,2,1988,1988,2009,175000
HdBoard,160,BrDale,6,TA,TA,1,4,Unf,1,1971,1971,2008,85400
MetalSd,50,OldTown,6,TA,Gd,1,7,NA,0,1920,NA,2008,79900
HdBoard,160,BrDale,5,TA,Ex,1,6,Unf,2,1971,1971,2007,122500
VinylSd,60,Gilbert,6,Gd,Ex,2,7,Fin,2,1997,1997,2008,181000
CemntBd,180,MeadowV,4,Gd,Gd,1,3,NA,0,1972,NA,2008,81000
VinylSd,60,CollgCr,7,Gd,Ex,2,6,RFn,2,1996,1996,2009,212000
Stucco,50,OldTown,6,Fa,TA,1,6,Unf,2,1920,1990,2006,116000
Wd Sdng,45,BrkSide,6,TA,Gd,1,4,Unf,1,1926,1926,2009,119000
WdShing,30,Crawfor,5,TA,TA,1,4,Unf,1,1913,1990,2007,90350
Wd Sdng,50,Edwards,6,TA,Gd,1,7,Unf,2,1920,2005,2009,110000
VinylSd,20,NridgHt,10,Ex,Ex,2,10,Fin,3,2008,2008,2009,555000
VinylSd,90,Edwards,4,TA,TA,2,8,NA,0,1955,NA,2008,118000
MetalSd,50,BrkSide,5,TA,TA,2,8,Unf,2,1930,1930,2008,162900
WdShing,120,Blmngtn,7,Ex,Ex,2,6,Fin,3,2006,2007,2007,172500
VinylSd,60,CollgCr,7,Gd,Ex,2,8,Unf,2,1994,1994,2008,210000
Wd Sdng,20,Edwards,6,TA,Fa,1,7,Unf,2,1956,1956,2009,127500
BrkFace,20,NAmes,6,TA,Ex,2,6,Fin,2,1966,1966,2010,190000
VinylSd,60,Gilbert,7,Gd,Gd,2,10,Fin,2,1998,1998,2006,199900
MetalSd,50,IDOTRR,6,TA,TA,2,7,Unf,1,1937,1937,2006,119500
MetalSd,50,OldTown,3,TA,Ex,1,6,Unf,1,1948,1981,2007,120000
Wd Sdng,30,OldTown,6,TA,Ex,1,5,Unf,1,1930,1932,2006,110000
Plywood,20,ClearCr,7,Gd,TA,2,5,Unf,2,1975,1975,2006,280000
VinylSd,60,Timber,6,Ex,Ex,2,7,Fin,2,1996,1996,2007,204000
VinylSd,60,Somerst,8,Gd,Ex,2,6,RFn,2,2008,2008,2009,210000
Plywood,90,Mitchel,5,TA,TA,2,8,Unf,2,1976,1976,2006,188000
HdBoard,20,NWAmes,7,TA,Fa,1,6,Unf,2,1973,1973,2007,175500
AsbShng,70,OldTown,5,TA,Fa,1,7,Unf,3,1916,1916,2008,98000
Plywood,20,ClearCr,4,Gd,Ex,1,6,Fin,2,1954,1954,2008,256000
Stucco,70,OldTown,8,TA,Fa,1,7,Unf,1,1925,1925,2008,161000
MetalSd,50,BrkSide,5,TA,TA,1,5,Unf,1,1950,1950,2009,110000
VinylSd,60,Somerst,8,Gd,Ex,2,8,Fin,2,2009,2009,2009,263435
Wd Sdng,70,SWISU,7,Gd,Ex,1,6,RFn,2,1936,1971,2009,155000
MetalSd,20,Sawyer,5,TA,Gd,1,5,Unf,1,1965,1965,2009,62383
Stucco,70,Crawfor,6,TA,Fa,1,6,Unf,1,1934,1939,2008,188700
HdBoard,20,CollgCr,5,Gd,TA,2,5,NA,0,1978,NA,2009,124000
VinylSd,120,Blmngtn,7,Gd,Ex,2,6,Fin,2,2004,2004,2006,178740
Plywood,20,NAmes,7,TA,TA,1,5,Unf,2,1970,1970,2007,167000
MetalSd,70,NAmes,5,TA,Ex,1,7,Unf,1,1942,1942,2007,146500
VinylSd,20,NridgHt,8,Gd,Ex,2,7,RFn,3,2006,2006,2007,250000
HdBoard,60,SawyerW,6,Gd,Ex,2,7,RFn,2,1993,1993,2008,187000
HdBoard,120,StoneBr,8,Gd,TA,1,4,RFn,2,1985,1985,2010,212000
WdShing,60,NWAmes,7,Gd,TA,2,8,RFn,2,1977,1977,2007,190000
VinylSd,180,Edwards,6,Gd,Ex,1,5,RFn,2,2005,2005,2008,148000
VinylSd,20,NridgHt,8,Ex,Ex,2,7,RFn,3,2006,2006,2007,440000
CemntBd,120,StoneBr,8,Gd,Ex,2,6,RFn,2,2000,2000,2007,251000
HdBoard,20,Sawyer,5,TA,TA,1,5,Unf,2,1963,1996,2007,132500
VinylSd,20,CollgCr,6,Gd,Ex,2,7,Fin,2,1997,1997,2008,208900
VinylSd,60,NridgHt,9,Gd,Ex,2,9,Fin,3,2006,2006,2007,380000
VinylSd,20,CollgCr,8,Ex,Ex,2,7,RFn,3,2007,2007,2009,297000
Stucco,30,OldTown,4,Fa,TA,1,7,Unf,2,1937,1995,2007,89471
VinylSd,20,NridgHt,9,Ex,Ex,2,8,Fin,3,2004,2004,2006,326000
VinylSd,20,NridgHt,9,Ex,Ex,2,6,Fin,3,2003,2003,2006,374000
Stucco,70,OldTown,7,TA,Ex,1,7,Unf,1,1915,1915,2009,155000
VinylSd,120,Mitchel,6,Ex,Ex,2,5,Unf,2,1998,1998,2006,164000
HdBoard,20,Sawyer,5,TA,Gd,1,6,Unf,1,1962,1963,2007,132500
MetalSd,20,NAmes,5,TA,Gd,1,5,Unf,1,1950,1950,2009,147000
MetalSd,20,NAmes,5,TA,TA,1,6,RFn,2,1965,1965,2007,156000
Plywood,20,NWAmes,5,Gd,Gd,2,7,Unf,2,1971,1971,2007,175000
Wd Sdng,190,OldTown,5,TA,TA,2,10,Unf,2,1900,1970,2006,160000
CemntBd,180,MeadowV,4,Gd,TA,1,3,Unf,1,1970,1970,2009,86000
CemntBd,160,MeadowV,5,Gd,TA,1,4,Fin,1,1976,1976,2008,115000
Wd Sdng,50,NAmes,6,TA,TA,1,5,Unf,1,1941,1941,2006,133000
VinylSd,60,Gilbert,6,Gd,Gd,2,8,RFn,2,2006,2006,2006,172785
BrkFace,20,NAmes,5,TA,TA,1,6,Unf,1,1960,1964,2008,155000
MetalSd,30,OldTown,5,Fa,Gd,1,4,Unf,1,1938,1938,2009,91300
Wd Sdng,30,IDOTRR,4,TA,TA,1,4,NA,0,1920,NA,2009,34900
BrkFace,20,NoRidge,8,Gd,Ex,3,10,RFn,2,1992,1992,2007,430000
Wd Sdng,50,BrkSide,7,TA,Ex,2,8,Unf,1,1925,1925,2008,184000
HdBoard,20,Sawyer,5,TA,Ex,1,5,Fin,1,1967,1967,2009,130000
MetalSd,20,NAmes,5,TA,Fa,1,5,Fin,1,1958,1958,2007,120000
HdBoard,160,BrDale,6,TA,TA,1,7,Unf,1,1973,1973,2007,113000
VinylSd,60,Somerst,7,Gd,Gd,2,7,RFn,2,2005,2005,2008,226700
MetalSd,20,Edwards,5,TA,Ex,1,6,Unf,2,1965,1965,2007,140000
BrkFace,20,Crawfor,7,TA,TA,2,6,Fin,2,1959,1959,2010,289000
Plywood,160,NPkVill,6,TA,TA,2,6,Unf,2,1974,1974,2009,147000
Wd Sdng,90,OldTown,5,TA,Gd,2,10,Unf,2,1952,1952,2009,124500
VinylSd,60,SawyerW,8,Gd,Ex,2,8,RFn,2,1993,1993,2006,215000
VinylSd,20,Somerst,6,Gd,Ex,2,4,Fin,2,2009,2009,2009,208300
MetalSd,70,OldTown,7,TA,Ex,2,7,Unf,2,1928,1928,2008,161000
MetalSd,20,NAmes,5,TA,Ex,1,6,RFn,1,1959,1959,2009,124500
Wd Sdng,20,NAmes,5,TA,Ex,1,6,Unf,1,1951,1951,2009,164900
VinylSd,120,NridgHt,7,Gd,Ex,2,6,RFn,2,2005,2005,2006,202665
VinylSd,20,NAmes,5,TA,TA,1,5,Unf,2,1958,1964,2006,129900
VinylSd,20,Mitchel,6,TA,TA,1,5,Unf,2,1983,1983,2007,134000
Wd Sdng,45,Crawfor,5,TA,Fa,1,5,Unf,1,1926,1926,2007,96500
CemntBd,20,NridgHt,10,Ex,Ex,2,9,Fin,3,2009,2009,2009,402861
HdBoard,80,NWAmes,6,TA,TA,2,7,RFn,2,1972,1972,2009,158000
VinylSd,60,NoRidge,7,Gd,Ex,2,7,RFn,3,1996,1996,2009,265000
VinylSd,60,CollgCr,6,Gd,Ex,2,7,RFn,2,1998,1998,2007,211000
MetalSd,70,Crawfor,7,Gd,Ex,1,9,Unf,1,1926,1926,2009,234000
MetalSd,190,OldTown,4,NA,TA,2,7,NA,0,1900,NA,2008,106250
VinylSd,20,NAmes,6,TA,Ex,1,6,Unf,1,1957,1957,2007,150000
CemntBd,50,BrkSide,6,TA,Ex,2,7,Unf,2,1947,1950,2006,159000
CemntBd,60,Edwards,10,Ex,Ex,3,11,Fin,3,2007,2007,2007,184750
VinylSd,60,NoRidge,7,Gd,Ex,2,8,Fin,3,1996,1996,2007,315750
VinylSd,20,Somerst,7,Gd,Ex,2,6,Unf,2,2005,2005,2006,176000
Wd Sdng,20,NAmes,5,Gd,TA,1,4,Unf,1,1956,1956,2007,132000
VinylSd,60,NridgHt,9,Ex,Ex,2,11,Fin,3,2008,2008,2008,446261
Wd Sdng,30,Edwards,4,TA,Ex,1,5,NA,0,1920,NA,2007,86000
Wd Sdng,20,Crawfor,6,TA,TA,3,9,RFn,2,1957,1975,2007,200624
HdBoard,80,Timber,6,Gd,Ex,2,5,RFn,2,1988,1988,2008,175000
Wd Sdng,70,BrkSide,6,Fa,Ex,2,6,Fin,2,1920,1920,2008,128000
VinylSd,20,NAmes,5,NA,Ex,1,5,Unf,1,1955,1967,2010,107500
VinylSd,20,BrkSide,1,NA,Fa,1,2,NA,0,1946,NA,2007,39300
VinylSd,60,Gilbert,8,Ex,Ex,2,6,Fin,2,2004,2004,2006,178000
MetalSd,190,Edwards,5,Gd,TA,1,5,NA,0,1910,NA,2008,107500
VinylSd,60,CollgCr,7,Gd,Ex,2,8,Fin,2,1998,1998,2008,188000
MetalSd,20,NAmes,4,TA,TA,1,5,Unf,2,1972,1980,2008,111250
Plywood,20,Sawyer,5,TA,TA,1,7,Unf,1,1968,1968,2006,158000
VinylSd,20,CollgCr,8,Gd,Ex,2,6,RFn,2,2001,2001,2010,272000
VinylSd,20,Timber,9,Ex,Ex,2,8,Fin,3,2006,2006,2009,315000
VinylSd,60,NoRidge,8,Gd,Ex,2,8,Fin,3,2000,2000,2007,248000
VinylSd,20,NWAmes,7,Ex,Ex,2,7,Fin,2,1998,1998,2009,213250
MetalSd,120,NAmes,7,Gd,Ex,1,4,Fin,1,1998,1998,2007,133000
VinylSd,60,Gilbert,7,Gd,Ex,2,7,RFn,2,2006,2006,2006,179665
HdBoard,50,NWAmes,7,Gd,Gd,2,9,Unf,3,1988,1988,2006,229000
BrkFace,50,BrkSide,6,Gd,Ex,1,6,Unf,2,1923,1950,2007,210000
VinylSd,85,Mitchel,5,Gd,Ex,1,5,Unf,2,1970,1987,2007,129500
MetalSd,20,OldTown,5,TA,TA,1,4,RFn,2,1955,1963,2008,125000
VinylSd,60,Somerst,7,Gd,Ex,2,8,Fin,2,2003,2003,2009,263000
Plywood,120,NPkVill,6,Gd,TA,2,4,RFn,2,1977,1977,2008,140000
BrkFace,20,OldTown,5,TA,Gd,1,5,Fin,1,1957,1957,2008,112500
VinylSd,20,NridgHt,8,Ex,Ex,2,7,RFn,3,2006,2006,2009,255500
VinylSd,20,Edwards,4,NA,Ex,2,5,Fin,2,1949,2002,2009,108000
VinylSd,60,NridgHt,7,Gd,Ex,2,8,RFn,3,2003,2003,2008,284000
MetalSd,45,BrkSide,5,TA,TA,1,5,Unf,1,1922,1922,2006,113000
Wd Sdng,20,NAmes,5,TA,TA,1,6,Fin,1,1957,1957,2006,141000
MetalSd,50,IDOTRR,4,TA,Gd,1,7,Unf,1,1920,1994,2006,108000
HdBoard,60,Gilbert,7,Gd,Ex,2,6,Unf,2,1996,1996,2008,175000
VinylSd,120,Blmngtn,7,Gd,Ex,2,7,Fin,2,2003,2003,2006,234000
Wd Sdng,20,Sawyer,5,Gd,TA,1,5,Unf,2,1957,1957,2010,121500
HdBoard,20,Mitchel,5,Gd,Gd,1,6,RFn,2,1974,1975,2006,170000
WdShing,30,Edwards,5,TA,Ex,1,6,NA,0,1940,NA,2008,108000
Wd Sdng,50,Edwards,6,Gd,Ex,2,8,Fin,2,1918,1955,2008,185000
HdBoard,60,NoRidge,7,Gd,Ex,2,9,RFn,2,1992,1992,2006,268000
Wd Sdng,70,SWISU,6,Gd,TA,1,6,Unf,1,1915,1920,2010,128000
VinylSd,60,StoneBr,9,Gd,Ex,2,11,Fin,3,2005,2005,2008,325000
VinylSd,20,NridgHt,7,Gd,Ex,2,7,RFn,2,2004,2004,2010,214000
Wd Sdng,50,SawyerW,8,Gd,Ex,1,5,Fin,2,1983,1983,2009,316600
MetalSd,90,NAmes,5,Gd,TA,1,4,Unf,2,1979,1979,2006,135960
HdBoard,90,NAmes,5,TA,TA,2,10,Unf,2,1965,1987,2008,142600
WdShing,20,NAmes,6,TA,Ex,1,4,Unf,1,1959,1959,2006,120000
VinylSd,60,Timber,7,Ex,Gd,2,6,RFn,2,2009,2009,2009,224500
VinylSd,80,Gilbert,7,Gd,Ex,2,8,RFn,2,2000,2000,2007,170000
MetalSd,80,NAmes,5,TA,TA,1,5,Unf,1,1971,1971,2007,139000
MetalSd,50,NAmes,5,TA,TA,1,6,Unf,1,1947,1947,2008,118500
Wd Sdng,50,SWISU,7,TA,Gd,2,6,Unf,1,1928,1928,2009,145000
VinylSd,80,Sawyer,5,TA,Ex,1,6,RFn,2,1966,1966,2006,164500
VinylSd,160,Somerst,7,Gd,Ex,2,5,Unf,2,2007,2007,2008,146000
MetalSd,50,OldTown,5,TA,Ex,2,7,Unf,1,1954,1954,2008,131500
Wd Sdng,20,NAmes,6,TA,Ex,1,7,Unf,2,1960,1960,2007,181900
VinylSd,20,NridgHt,8,Ex,Ex,2,8,RFn,3,2008,2009,2009,253293
HdBoard,90,Edwards,6,Gd,TA,1,5,NA,0,1990,NA,2007,118500
Wd Sdng,75,OldTown,10,TA,Gd,3,9,Unf,2,1893,1988,2008,325000
AsbShng,50,BrkSide,4,TA,Ex,1,6,Unf,1,1935,1935,2009,133000
VinylSd,20,Timber,8,Ex,Ex,2,7,RFn,3,2005,2005,2006,369900
Stucco,30,BrkSide,6,TA,Ex,1,5,Fin,1,1918,1961,2008,130000
HdBoard,85,Sawyer,5,TA,TA,1,4,Unf,2,1982,1996,2009,137000
Wd Sdng,20,ClearCr,5,TA,Ex,1,5,Unf,1,1968,1968,2009,143000
VinylSd,40,BrkSide,5,TA,TA,1,4,Unf,1,1930,1988,2008,79500
VinylSd,60,CollgCr,7,Gd,Ex,2,6,RFn,2,2004,2004,2008,185900
CemntBd,60,NridgHt,10,Ex,Ex,2,10,RFn,3,2008,2008,2009,451950
HdBoard,20,Mitchel,5,TA,Ex,1,4,Fin,2,1982,1985,2008,138000
VinylSd,120,CollgCr,6,Gd,Ex,1,4,Fin,2,2003,2003,2009,140000
HdBoard,20,CollgCr,5,Gd,TA,1,5,Unf,1,1975,1981,2008,110000
VinylSd,20,StoneBr,8,Gd,Ex,2,7,Fin,3,2005,2005,2006,319000
VinylSd,70,OldTown,6,TA,Ex,1,7,Unf,1,1910,1930,2006,114504
VinylSd,120,Blmngtn,7,Ex,Ex,0,7,Fin,3,2006,2006,2007,194201
Plywood,20,Crawfor,5,Gd,Ex,2,7,Fin,2,1977,1977,2006,217500
MetalSd,160,Blueste,6,Gd,TA,2,6,Fin,2,1980,1980,2008,151000
VinylSd,60,NridgHt,8,Gd,Ex,2,8,Fin,2,2005,2003,2006,275000
Wd Sdng,50,IDOTRR,6,TA,TA,1,6,Unf,1,1937,1979,2007,141000
HdBoard,60,SawyerW,8,Gd,Ex,2,8,Fin,2,1992,1992,2006,220000
MetalSd,160,Somerst,7,Gd,Ex,2,4,RFn,2,2004,2004,2010,151000
VinylSd,20,CollgCr,7,Gd,Ex,2,6,RFn,2,2002,2002,2008,221000
HdBoard,60,NAmes,7,TA,TA,2,7,Unf,2,1965,1965,2009,205000
VinylSd,20,CollgCr,5,Gd,Gd,1,6,Unf,2,1996,2000,2009,152000
MetalSd,20,Edwards,5,TA,Ex,3,8,Unf,1,1948,1948,2006,225000
BrkFace,70,Crawfor,8,Gd,TA,2,10,Unf,2,1934,1934,2007,359100
VinylSd,20,Sawyer,4,TA,Gd,1,5,Unf,1,1961,1961,2007,118500
VinylSd,60,CollgCr,9,Ex,Ex,2,8,Fin,3,2000,2000,2009,313000
HdBoard,80,NWAmes,6,Gd,TA,2,6,Unf,2,1978,1978,2007,148000
VinylSd,60,CollgCr,8,Gd,Ex,2,7,RFn,2,2001,2001,2009,261500
VinylSd,20,Mitchel,5,Gd,Ex,1,6,NA,0,2007,NA,2007,147000
