OverallQual,Neighborhood,GarageCars,BsmtQual,KitchenQual,ExterQual,GarageArea,FullBath,GarageFinish,Dure_garage,GarageType,Foundation,FireplaceQu,TotRmsAbvGrd,MSSubClass,Dure_house,HeatingQC,BsmtFinType1,Fireplaces,Exterior1st,Exterior2nd,MasVnrType,GrLivArea,MSZoning,OverallCond,HouseStyle,BsmtExposure,SaleCondition,SaleType,GarageCond,2ndFlrSF,TotalBsmtSF,LotShape,GarageQual,CentralAir,HalfBath,LotFrontage,Fence,Electric,OpenPorchSF,Electrical
5,CollgCr,2,Gd,TA,Gd,576,1,Unf,8,Detchd,PConc,nonappli,5,85,10,Ex,GLQ,0,VinylSd,VinylSd,None,914,RL,5,SFoyer,Av,Normal,WD,TA,0,870,IR1,TA,Y,0,57,nonappli,SBrkr,0,SBrkr
7,OldTown,2,TA,Ex,TA,546,1,Unf,81,Detchd,BrkTil,Gd,6,70,16,Ex,LwQ,1,Wd Sdng,Wd Sdng,None,1641,RM,7,2Story,No,Normal,WD,TA,809,728,Reg,Fa,Y,1,60,nonappli,SBrkr,0,SBrkr
5,BrkSide,2,TA,TA,TA,360,2,Unf,78,Detchd,PConc,Gd,8,50,16,TA,Unf,1,MetalSd,MetalSd,None,1573,RM,7,1.5Fin,No,Normal,WD,TA,445,1078,Reg,TA,Y,0,52,nonappli,SBrkr,0,SBrkr
7,NWAmes,2,Gd,TA,TA,588,2,Unf,29,Attchd,CBlock,TA,6,80,29,TA,GLQ,2,Plywood,Plywood,BrkFace,1472,RL,5,SLvl,Av,Normal,WD,TA,0,1372,Reg,TA,Y,0,313,nonappli,SBrkr,48,SBrkr
6,Mitchel,1,Gd,TA,TA,423,2,Unf,19,Attchd,CBlock,nonappli,7,50,23,Ex,ALQ,0,VinylSd,VinylSd,None,1750,RL,7,1.5Fin,Mn,Normal,WD,TA,767,983,IR1,TA,Y,0,75,nonappli,SBrkr,0,SBrkr
8,CollgCr,2,Gd,Gd,Gd,578,2,RFn,2,Attchd,PConc,nonappli,7,60,2,Ex,GLQ,0,VinylSd,VinylSd,None,1768,RL,5,2Story,Av,Normal,WD,TA,902,866,IR1,TA,Y,1,68,nonappli,SBrkr,105,SBrkr
6,NAmes,1,Gd,TA,TA,297,1,RFn,52,Attchd,CBlock,Gd,6,20,52,Gd,LwQ,1,Wd Sdng,Wd Sdng,BrkFace,1196,RL,5,1Story,No,Normal,WD,TA,0,1196,Reg,TA,Y,0,72,nonappli,FuseA,44,FuseA
4,Edwards,2,nonappli,Gd,TA,520,2,Fin,7,Detchd,CBlock,nonappli,5,20,6,Ex,nonappli,0,VinylSd,VinylSd,None,1126,RL,5,1Story,nonappli,Normal,WD,TA,0,0,Reg,TA,Y,0,67,MnPrv,SBrkr,96,SBrkr
4,Edwards,1,nonappli,TA,TA,290,1,Unf,52,Detchd,Slab,nonappli,5,20,52,Ex,nonappli,0,Wd Sdng,Wd Sdng,None,845,RL,3,1Story,nonappli,Normal,WD,TA,0,0,IR1,TA,N,0,313,nonappli,SBrkr,0,SBrkr
5,Mitchel,2,TA,TA,TA,530,2,RFn,39,Attchd,CBlock,Po,7,60,39,Ex,ALQ,1,HdBoard,HdBoard,BrkFace,1968,RL,4,2Story,Av,Normal,WD,TA,800,784,IR1,TA,Y,1,313,MnPrv,SBrkr,189,SBrkr
5,Edwards,1,TA,TA,TA,392,1,Unf,41,Attchd,BrkTil,nonappli,7,50,56,Gd,BLQ,0,AsbShng,AsbShng,None,1221,RL,7,1.5Fin,No,Normal,WD,TA,272,784,Reg,TA,Y,0,60,nonappli,SBrkr,0,SBrkr
6,OldTown,1,TA,TA,TA,216,1,Unf,76,Detchd,CBlock,nonappli,7,70,13,Ex,Unf,0,VinylSd,VinylSd,None,1368,RM,7,2Story,No,Normal,WD,Fa,684,684,Reg,TA,N,0,60,nonappli,FuseA,158,FuseA
6,BrDale,1,TA,TA,TA,280,1,Unf,21,Detchd,CBlock,nonappli,5,160,38,TA,Rec,0,HdBoard,HdBoard,BrkFace,987,RM,6,2Story,No,Normal,WD,TA,504,483,Reg,TA,Y,1,21,nonappli,SBrkr,0,SBrkr
7,SawyerW,2,Gd,Gd,Gd,719,2,Fin,17,Attchd,PConc,TA,6,20,16,Gd,GLQ,1,HdBoard,HdBoard,None,1442,RL,5,1Story,Mn,Normal,WD,TA,0,910,IR1,TA,Y,0,114,nonappli,SBrkr,244,SBrkr
4,Edwards,2,Fa,TA,TA,396,1,Unf,55,Detchd,CBlock,nonappli,6,20,55,TA,LwQ,0,Wd Sdng,Wd Sdng,None,1220,RL,5,1Story,No,Normal,COD,TA,0,836,Reg,TA,Y,0,67,nonappli,FuseF,0,FuseF
7,CollgCr,2,Gd,Gd,Gd,570,2,RFn,5,Attchd,PConc,nonappli,6,20,5,Ex,GLQ,0,VinylSd,VinylSd,BrkFace,1500,RL,5,1Story,Av,Normal,WD,TA,0,1500,Reg,TA,Y,0,63,nonappli,SBrkr,36,SBrkr
8,NoRidge,3,Gd,Gd,Gd,1069,2,Fin,11,Attchd,PConc,TA,7,60,11,Ex,GLQ,1,VinylSd,VinylSd,BrkFace,2450,RL,5,2Story,Mn,Normal,WD,TA,1140,1284,IR1,TA,Y,1,313,nonappli,SBrkr,126,SBrkr
7,NAmes,2,Gd,TA,TA,576,2,RFn,40,Attchd,CBlock,Gd,7,20,21,TA,GLQ,1,Plywood,Plywood,BrkFace,2207,RL,5,1Story,Gd,Normal,WD,TA,0,1947,Reg,TA,Y,0,313,nonappli,SBrkr,0,SBrkr
7,CollgCr,2,Gd,Gd,Gd,632,2,RFn,4,Attchd,PConc,nonappli,6,20,4,Ex,GLQ,0,VinylSd,VinylSd,Stone,1208,RL,5,1Story,Av,Normal,WD,TA,0,1187,Reg,TA,Y,0,64,nonappli,SBrkr,61,SBrkr
5,OldTown,1,TA,TA,TA,352,2,Unf,54,Attchd,BrkTil,nonappli,7,50,54,Ex,Unf,0,MetalSd,MetalSd,BrkFace,1795,RM,5,1.5Fin,No,Normal,WD,TA,745,1050,Reg,Fa,N,0,81,nonappli,FuseF,0,FuseF
4,Edwards,0,Gd,TA,TA,0,2,nonappli,-9.22E+18,nonappli,PConc,nonappli,8,90,30,TA,GLQ,0,MetalSd,MetalSd,None,1440,RL,3,1Story,Gd,Abnorml,Oth,nonappli,0,1440,IR1,nonappli,Y,0,42,nonappli,SBrkr,0,SBrkr
6,Edwards,2,Gd,Gd,TA,460,2,RFn,1,Attchd,PConc,nonappli,6,20,1,Ex,GLQ,0,VinylSd,VinylSd,None,1212,RL,5,1Story,Mn,Normal,WD,TA,0,1212,Reg,TA,Y,0,83,nonappli,SBrkr,22,SBrkr
7,OldTown,1,TA,TA,TA,288,1,Unf,26,Detchd,PConc,Gd,5,50,58,TA,Unf,1,Wd Sdng,Wd Sdng,None,1111,RM,7,1.5Fin,No,Normal,WD,TA,539,572,Reg,TA,Y,0,313,nonappli,SBrkr,0,SBrkr
8,NWAmes,2,TA,Gd,Ex,831,3,Fin,14,BuiltIn,CBlock,TA,11,60,12,Ex,GLQ,2,VinylSd,VinylSd,BrkFace,2715,RL,9,2Story,No,Normal,WD,TA,1540,1142,IR1,TA,Y,1,313,nonappli,SBrkr,204,SBrkr
7,CollgCr,2,Gd,Gd,TA,527,2,Fin,10,Attchd,PConc,nonappli,8,60,9,Ex,Unf,0,VinylSd,VinylSd,None,1724,RL,5,2Story,Av,Normal,WD,TA,844,880,IR1,TA,Y,1,57,nonappli,SBrkr,155,SBrkr
6,NWAmes,2,TA,TA,TA,528,1,Unf,47,Attchd,CBlock,Gd,6,20,47,TA,ALQ,2,HdBoard,HdBoard,BrkFace,1328,RL,5,1Story,No,Normal,WD,TA,0,1328,Reg,TA,Y,1,313,nonappli,SBrkr,26,SBrkr
5,NAmes,1,TA,TA,TA,288,1,RFn,38,Attchd,CBlock,nonappli,5,20,38,Gd,BLQ,0,HdBoard,HdBoard,BrkFace,1052,RL,5,1Story,Av,Normal,WD,TA,0,1052,Reg,TA,Y,1,70,GdWo,SBrkr,0,SBrkr
8,NoRidge,2,Gd,Gd,Gd,462,2,Unf,15,Attchd,CBlock,TA,9,60,14,Ex,Unf,1,HdBoard,HdBoard,BrkFace,2417,RL,5,2Story,No,Normal,WD,TA,1116,1288,Reg,TA,Y,1,121,nonappli,SBrkr,82,SBrkr
4,Edwards,1,TA,TA,TA,280,1,Unf,51,Detchd,CBlock,TA,5,20,53,Ex,Rec,1,Wd Sdng,Wd Sdng,None,948,RL,6,1Story,No,Normal,WD,TA,0,948,Reg,TA,Y,0,60,nonappli,SBrkr,36,SBrkr
7,BrkSide,2,Gd,Gd,TA,532,1,Unf,12,Detchd,BrkTil,nonappli,8,70,16,TA,Unf,0,HdBoard,HdBoard,None,2019,RL,8,2Story,No,Normal,WD,TA,883,728,IR1,TA,N,0,60,GdPrv,SBrkr,135,SBrkr
4,BrkSide,0,Gd,Fa,TA,0,1,nonappli,-9.22E+18,nonappli,PConc,nonappli,4,30,48,TA,Unf,0,Wd Sdng,Wd Sdng,None,869,RL,7,1Story,No,Normal,WD,nonappli,0,440,IR1,nonappli,Y,0,51,nonappli,FuseA,0,FuseA
8,NridgHt,2,Gd,Gd,Gd,627,2,RFn,1,Attchd,PConc,Gd,6,120,1,Ex,GLQ,1,VinylSd,VinylSd,Stone,1554,RL,5,1Story,Mn,Normal,WD,TA,0,1554,Reg,TA,Y,0,34,nonappli,SBrkr,73,SBrkr
6,NAmes,2,Fa,TA,TA,576,2,Unf,39,Attchd,CBlock,Gd,9,60,39,TA,ALQ,2,HdBoard,HdBoard,None,2112,RL,5,2Story,Mn,Normal,WD,TA,1020,952,Reg,TA,Y,1,85,nonappli,SBrkr,0,SBrkr
5,Sawyer,2,TA,Gd,TA,576,2,Unf,0,Attchd,BrkTil,nonappli,7,30,0,Ex,Unf,0,Wd Sdng,Wd Sdng,None,1416,RL,7,1Story,No,Normal,WD,TA,0,816,Reg,TA,Y,0,313,nonappli,SBrkr,0,SBrkr
6,Gilbert,2,TA,TA,TA,398,2,Fin,4,Attchd,PConc,TA,8,60,4,Ex,GLQ,1,VinylSd,VinylSd,None,1593,RL,5,2Story,No,Normal,WD,TA,729,839,IR1,TA,Y,1,62,nonappli,SBrkr,75,SBrkr
6,NWAmes,2,TA,Gd,TA,676,1,RFn,38,Attchd,CBlock,TA,5,20,4,TA,ALQ,1,Plywood,Plywood,None,1381,RL,7,1Story,No,Normal,WD,TA,0,1161,Reg,TA,Y,1,78,nonappli,SBrkr,0,SBrkr
6,NAmes,1,TA,TA,TA,338,2,RFn,51,Attchd,CBlock,Gd,6,20,21,Gd,Rec,1,Wd Sdng,Wd Sdng,BrkCmn,1632,RL,6,1Story,No,Normal,WD,TA,0,1240,Reg,TA,Y,0,80,MnPrv,SBrkr,0,SBrkr
5,Crawfor,1,Fa,Fa,TA,240,1,Unf,69,Basment,PConc,Gd,5,30,57,Ex,Unf,1,MetalSd,MetalSd,None,954,RL,7,1Story,No,Normal,WD,TA,0,920,Reg,Fa,Y,0,50,MnPrv,SBrkr,0,SBrkr
7,Edwards,2,nonappli,Gd,Gd,672,3,RFn,6,BuiltIn,Slab,Ex,7,85,6,Ex,nonappli,1,HdBoard,HdBoard,BrkFace,1922,RL,5,SFoyer,nonappli,Normal,ConLD,TA,1427,0,Reg,TA,Y,0,64,nonappli,SBrkr,0,SBrkr
5,Sawyer,2,TA,TA,TA,484,1,Unf,23,Detchd,CBlock,nonappli,6,20,32,TA,BLQ,0,Plywood,Plywood,BrkFace,980,RL,6,1Story,No,Normal,WD,TA,0,980,Reg,TA,Y,0,71,nonappli,SBrkr,0,SBrkr
7,CollgCr,2,Gd,Gd,Gd,608,2,RFn,7,Attchd,PConc,TA,6,60,6,Ex,GLQ,1,VinylSd,VinylSd,BrkFace,1786,RL,5,2Story,Mn,Normal,WD,TA,866,920,IR1,TA,Y,1,68,nonappli,SBrkr,42,SBrkr
8,Somerst,2,Ex,Gd,Gd,636,2,RFn,3,Attchd,PConc,Gd,7,20,2,Ex,GLQ,1,VinylSd,VinylSd,Stone,1694,RL,5,1Story,Av,Normal,WD,TA,0,1686,Reg,TA,Y,0,75,nonappli,SBrkr,57,SBrkr
6,NAmes,1,TA,TA,TA,240,1,Unf,61,Detchd,CBlock,Gd,5,20,7,Ex,ALQ,1,VinylSd,VinylSd,None,972,RL,6,1Story,No,Normal,WD,TA,0,972,Reg,TA,Y,0,50,nonappli,SBrkr,0,SBrkr
5,Sawyer,2,TA,TA,TA,576,1,Unf,7,Detchd,CBlock,TA,6,20,19,Gd,Rec,1,CemntBd,Wd Sdng,None,1437,RL,6,1Story,No,Normal,WD,TA,0,1188,Reg,TA,Y,1,313,nonappli,SBrkr,0,SBrkr
8,CollgCr,2,Gd,Gd,Gd,905,2,Fin,7,BuiltIn,PConc,TA,7,60,6,Ex,Unf,1,VinylSd,VinylSd,BrkFace,2263,RL,5,2Story,No,Normal,WD,TA,1208,1055,Reg,TA,Y,1,313,nonappli,SBrkr,45,SBrkr
7,NWAmes,2,TA,TA,TA,550,2,RFn,28,Attchd,CBlock,TA,6,60,28,TA,GLQ,1,HdBoard,HdBoard,BrkFace,1725,RL,6,SLvl,No,Normal,WD,TA,685,539,Reg,TA,Y,1,80,nonappli,SBrkr,88,SBrkr
5,NAmes,1,TA,Gd,TA,447,1,Unf,49,Attchd,CBlock,Fa,6,20,10,TA,BLQ,1,HdBoard,HdBoard,BrkFace,1236,RL,6,1Story,No,Normal,WD,TA,0,1070,IR1,TA,Y,0,72,MnPrv,SBrkr,0,SBrkr
5,NAmes,1,TA,TA,TA,286,1,RFn,47,Attchd,CBlock,nonappli,6,20,47,TA,LwQ,0,BrkFace,Wd Sdng,None,1040,RL,5,1Story,No,Normal,WD,TA,0,1040,Reg,TA,Y,0,70,GdWo,FuseA,0,FuseA
8,NridgHt,3,Ex,Gd,Gd,772,2,RFn,2,Attchd,PConc,Gd,7,20,2,Ex,GLQ,1,VinylSd,VinylSd,Stone,1704,RL,5,1Story,No,Normal,WD,TA,0,1704,Reg,TA,Y,0,98,nonappli,SBrkr,50,SBrkr
6,NWAmes,2,Gd,TA,TA,478,2,Fin,32,Attchd,CBlock,TA,7,20,32,TA,ALQ,1,Plywood,Plywood,BrkFace,1523,RL,5,1Story,No,Abnorml,COD,TA,0,1193,Reg,TA,Y,0,104,MnPrv,SBrkr,0,SBrkr
8,Somerst,2,Gd,Gd,Gd,776,2,RFn,0,Attchd,PConc,Gd,7,20,0,Ex,Unf,1,VinylSd,VinylSd,None,1489,FV,5,1Story,No,Partial,New,TA,0,1489,Reg,TA,Y,0,81,nonappli,SBrkr,140,SBrkr
7,Blmngtn,3,Gd,Gd,Gd,660,2,RFn,2,Attchd,PConc,TA,7,120,2,Ex,ALQ,1,VinylSd,VinylSd,BrkFace,1569,RL,5,1Story,No,Normal,WD,TA,0,1386,Reg,TA,Y,0,51,nonappli,SBrkr,20,SBrkr
7,CollgCr,2,Gd,Gd,Gd,573,2,RFn,8,Attchd,PConc,nonappli,6,20,8,Ex,Unf,0,VinylSd,VinylSd,None,1212,RL,5,1Story,No,Normal,WD,TA,0,1212,Reg,TA,Y,0,70,nonappli,SBrkr,0,SBrkr
7,CollgCr,2,Gd,Gd,Gd,544,2,RFn,7,Attchd,PConc,nonappli,6,20,7,Ex,GLQ,0,VinylSd,VinylSd,BrkFace,1573,RL,5,1Story,No,Normal,WD,TA,0,1573,IR1,TA,Y,0,67,nonappli,SBrkr,72,SBrkr
6,NWAmes,2,TA,TA,TA,484,1,RFn,34,Attchd,CBlock,TA,8,60,34,Gd,Rec,1,VinylSd,VinylSd,None,1790,RL,5,2Story,No,Normal,WD,TA,778,732,Reg,TA,Y,2,80,nonappli,SBrkr,0,SBrkr
5,BrkSide,2,TA,Gd,TA,528,1,RFn,86,Attchd,CBlock,TA,6,70,5,Ex,GLQ,1,Wd Sdng,Wd Sdng,None,1576,RL,6,2Story,Gd,Normal,WD,TA,504,1324,Reg,TA,Y,1,144,nonappli,SBrkr,312,SBrkr
6,Somerst,2,Gd,Gd,Gd,673,2,RFn,5,Attchd,PConc,nonappli,7,60,5,Ex,Rec,0,VinylSd,VinylSd,None,1728,FV,5,2Story,No,Normal,WD,TA,864,864,IR1,TA,Y,1,64,nonappli,SBrkr,56,SBrkr
8,NridgHt,3,Gd,Gd,Gd,890,2,RFn,2,Attchd,PConc,Gd,7,20,2,Ex,Unf,1,VinylSd,VinylSd,Stone,1600,RL,5,1Story,No,Normal,WD,TA,0,1566,Reg,TA,Y,0,110,nonappli,SBrkr,56,SBrkr
9,StoneBr,3,Ex,Gd,Gd,676,2,Fin,2,Attchd,PConc,Gd,8,20,1,Ex,GLQ,1,VinylSd,VinylSd,Stone,1922,RL,5,1Story,Gd,Normal,WD,TA,0,1922,IR1,TA,Y,0,86,nonappli,SBrkr,51,SBrkr
7,Timber,2,Ex,Gd,TA,650,2,RFn,0,Attchd,PConc,nonappli,6,60,0,Gd,Unf,0,VinylSd,VinylSd,None,1692,RL,5,2Story,Av,Partial,New,TA,846,846,IR1,TA,Y,1,83,nonappli,SBrkr,114,SBrkr
8,Somerst,3,Gd,Gd,Gd,826,2,RFn,1,Attchd,PConc,nonappli,7,20,1,Ex,GLQ,0,VinylSd,VinylSd,None,1656,FV,5,1Story,Av,Normal,WD,TA,0,1656,Reg,TA,Y,0,84,nonappli,SBrkr,146,SBrkr
4,OldTown,1,Fa,TA,TA,273,1,Unf,53,Detchd,BrkTil,nonappli,6,30,12,Gd,Unf,0,VinylSd,VinylSd,None,1047,RM,7,1Story,No,Normal,WD,Fa,0,641,Reg,Fa,Y,0,60,nonappli,SBrkr,0,SBrkr
9,NridgHt,3,Ex,Ex,Ex,706,2,Fin,0,Attchd,PConc,Ex,10,60,0,Ex,GLQ,2,CemntBd,CmentBd,BrkFace,2728,RL,5,2Story,No,Partial,New,TA,880,1848,IR2,TA,Y,1,56,nonappli,SBrkr,0,SBrkr
6,NAmes,2,TA,TA,TA,576,2,RFn,44,Attchd,CBlock,Gd,7,20,44,Gd,BLQ,1,HdBoard,Plywood,BrkFace,1425,RL,5,1Story,No,Normal,WD,TA,0,1425,IR1,TA,Y,0,100,nonappli,SBrkr,0,SBrkr
6,BrkSide,1,TA,Fa,TA,192,1,Unf,93,Detchd,BrkTil,Gd,4,30,59,Fa,Unf,1,Wd Sdng,Wd Sdng,None,952,RL,6,1.5Unf,No,Normal,WD,Po,0,952,Reg,Fa,N,0,313,nonappli,FuseF,98,FuseF
5,CollgCr,2,Gd,TA,TA,576,1,Unf,10,Attchd,PConc,nonappli,5,20,11,Ex,ALQ,0,VinylSd,VinylSd,None,990,RL,5,1Story,No,Normal,WD,TA,0,990,IR2,TA,Y,0,43,nonappli,SBrkr,0,SBrkr
6,ClearCr,2,TA,TA,TA,540,1,Unf,37,Attchd,CBlock,TA,4,80,37,Ex,ALQ,2,Plywood,Plywood,None,988,RL,5,SLvl,Gd,Normal,WD,TA,0,938,IR1,TA,Y,0,313,nonappli,SBrkr,130,SBrkr
4,SawyerW,1,TA,TA,TA,384,1,Unf,40,Detchd,CBlock,nonappli,5,20,40,TA,Rec,0,HdBoard,HdBoard,None,1056,RH,4,1Story,No,Normal,WD,TA,0,1056,Reg,TA,Y,0,313,MnPrv,SBrkr,42,SBrkr
9,Gilbert,3,Ex,Ex,Ex,758,2,Fin,3,Attchd,PConc,Gd,7,20,2,Ex,GLQ,2,VinylSd,VinylSd,Stone,1746,RL,5,1Story,Gd,Normal,WD,TA,0,1746,IR1,TA,Y,0,42,nonappli,SBrkr,39,SBrkr
7,Gilbert,2,Gd,TA,TA,427,2,Fin,11,Attchd,PConc,TA,7,60,11,Gd,Unf,1,VinylSd,VinylSd,BrkFace,1718,RL,5,2Story,No,Normal,WD,TA,833,832,IR1,TA,Y,1,74,nonappli,SBrkr,94,SBrkr
5,Sawyer,2,Gd,TA,TA,480,2,RFn,12,Attchd,CBlock,TA,6,80,10,Ex,ALQ,1,HdBoard,HdBoard,None,1464,RL,6,SLvl,Av,Normal,WD,TA,0,520,IR1,TA,Y,0,70,nonappli,SBrkr,0,SBrkr
7,CollgCr,2,Gd,Gd,Gd,493,2,RFn,7,Attchd,PConc,nonappli,7,60,7,Ex,Unf,0,VinylSd,VinylSd,BrkFace,1660,RL,5,2Story,No,Normal,WD,TA,829,831,IR1,TA,Y,1,68,nonappli,SBrkr,68,SBrkr
9,NridgHt,2,Ex,Ex,Ex,576,2,RFn,5,Attchd,PConc,Gd,6,120,5,Ex,GLQ,1,MetalSd,MetalSd,BrkFace,1752,RL,5,1Story,No,Normal,WD,TA,0,1752,Reg,TA,Y,0,61,nonappli,SBrkr,82,SBrkr
5,Sawyer,2,Gd,TA,TA,600,2,RFn,30,BuiltIn,CBlock,TA,12,90,30,Ex,GLQ,1,Plywood,Plywood,None,2620,RL,5,1.5Fin,No,Normal,WD,TA,1259,1361,IR1,TA,Y,2,313,nonappli,SBrkr,24,SBrkr
10,Edwards,3,Ex,Ex,Ex,884,3,Fin,0,BuiltIn,PConc,Gd,11,60,-1,Ex,GLQ,1,CemntBd,CmentBd,Stone,4676,RL,5,2Story,Gd,Partial,New,TA,1538,3138,IR1,TA,Y,1,130,nonappli,SBrkr,406,SBrkr
5,BrkSide,0,TA,Gd,TA,0,1,nonappli,-9.22E+18,nonappli,BrkTil,nonappli,5,45,58,Gd,ALQ,0,MetalSd,MetalSd,None,784,RM,6,1.5Unf,No,Normal,WD,nonappli,0,784,Reg,nonappli,Y,0,50,nonappli,SBrkr,0,SBrkr
4,Sawyer,2,TA,Fa,TA,544,1,RFn,46,Attchd,CBlock,nonappli,5,20,46,TA,ALQ,0,VinylSd,VinylSd,None,1120,RL,5,1Story,No,Normal,WD,TA,0,1040,Reg,TA,Y,1,85,nonappli,SBrkr,0,SBrkr
4,Sawyer,2,TA,TA,TA,459,1,Unf,32,Attchd,CBlock,Po,6,20,27,Gd,Rec,1,HdBoard,HdBoard,BrkFace,1382,RL,5,1Story,No,Normal,WD,TA,0,1051,Reg,TA,Y,1,75,nonappli,SBrkr,82,SBrkr
6,Sawyer,2,TA,TA,TA,440,2,Fin,32,Attchd,CBlock,TA,6,60,32,TA,Rec,1,HdBoard,HdBoard,BrkCmn,1386,RL,5,2Story,Mn,Abnorml,WD,TA,714,672,IR1,TA,Y,1,313,GdPrv,SBrkr,0,SBrkr
1,BrkSide,0,nonappli,Fa,Fa,0,1,nonappli,-9.22E+18,nonappli,Slab,nonappli,2,20,57,Fa,nonappli,0,VinylSd,VinylSd,None,334,RL,3,1Story,nonappli,Normal,WD,nonappli,0,0,Reg,nonappli,N,0,50,nonappli,FuseF,0,FuseF
7,Somerst,2,Gd,Gd,Gd,480,2,RFn,6,Detchd,PConc,nonappli,4,160,5,Ex,Unf,0,MetalSd,MetalSd,None,1200,FV,5,2Story,No,Normal,WD,TA,600,600,Reg,TA,Y,1,30,nonappli,SBrkr,172,SBrkr
7,Blmngtn,2,Gd,Gd,Gd,398,2,Fin,2,Attchd,PConc,TA,6,120,2,Ex,Unf,1,VinylSd,VinylSd,BrkFace,1414,RM,5,1Story,No,Normal,WD,TA,0,1375,Reg,TA,Y,0,313,nonappli,SBrkr,20,SBrkr
5,NAmes,3,TA,TA,TA,792,2,Unf,42,Detchd,CBlock,nonappli,8,90,42,TA,Unf,0,Plywood,Plywood,None,1584,RL,5,1Story,No,Normal,WD,TA,0,1584,Reg,TA,Y,0,65,nonappli,SBrkr,152,SBrkr
8,Crawfor,2,Gd,Gd,TA,400,1,Unf,75,Detchd,PConc,Gd,7,70,56,Fa,Unf,2,BrkFace,Stucco,None,1517,RL,7,2Story,No,Normal,WD,TA,725,792,IR1,TA,Y,0,313,nonappli,SBrkr,0,SBrkr
6,NWAmes,2,TA,Gd,Gd,528,2,RFn,37,Attchd,CBlock,nonappli,5,20,4,Ex,ALQ,0,VinylSd,VinylSd,BrkFace,1258,RL,7,1Story,No,Abnorml,COD,TA,0,1258,Reg,TA,Y,0,80,nonappli,SBrkr,0,SBrkr
5,Sawyer,1,TA,TA,TA,288,1,Unf,40,Attchd,CBlock,nonappli,6,20,40,TA,GLQ,0,HdBoard,Wd Sdng,BrkFace,902,RL,6,1Story,No,Normal,WD,TA,0,876,IR1,TA,Y,0,313,MnPrv,SBrkr,0,SBrkr
6,SawyerW,2,Gd,Gd,TA,576,1,Unf,0,Detchd,PConc,nonappli,5,20,2,Ex,ALQ,0,VinylSd,VinylSd,None,1158,RL,5,1Story,No,Partial,New,TA,0,1158,Reg,TA,Y,1,63,nonappli,SBrkr,50,SBrkr
5,Crawfor,2,Gd,TA,TA,432,1,Unf,88,Detchd,BrkTil,nonappli,5,30,3,Ex,ALQ,0,Wd Sdng,Wd Sdng,None,964,RL,7,1Story,No,Normal,WD,TA,0,876,IR1,TA,Y,0,80,nonappli,SBrkr,0,SBrkr
6,NAmes,2,Gd,TA,TA,596,2,Unf,42,CarPort,CBlock,Po,7,60,28,TA,LwQ,1,Plywood,Plywood,BrkCmn,2380,RL,5,2Story,No,Abnorml,WD,TA,915,1021,IR1,TA,Y,1,313,nonappli,SBrkr,265,SBrkr
7,CollgCr,2,Gd,Gd,Gd,632,2,RFn,2,Attchd,PConc,nonappli,6,20,2,Ex,GLQ,0,VinylSd,VinylSd,Stone,1232,RL,5,1Story,Av,Normal,WD,TA,0,1232,Reg,TA,Y,0,64,nonappli,SBrkr,0,SBrkr
5,CollgCr,1,TA,TA,TA,352,1,Unf,19,Detchd,CBlock,nonappli,5,20,36,TA,ALQ,0,HdBoard,HdBoard,None,864,RL,7,1Story,Av,Normal,WD,TA,0,864,IR1,TA,Y,0,60,nonappli,SBrkr,0,SBrkr
7,SawyerW,2,Gd,Gd,Gd,575,2,Fin,18,Attchd,CBlock,TA,7,60,18,Gd,GLQ,1,Plywood,Plywood,BrkFace,1982,RL,6,2Story,Av,Normal,WD,TA,807,807,Reg,TA,Y,1,82,nonappli,SBrkr,84,SBrkr
8,NoRidge,2,Gd,Gd,Gd,592,2,RFn,8,Attchd,PConc,TA,7,60,8,Ex,GLQ,1,VinylSd,VinylSd,BrkFace,1924,RL,5,2Story,Av,Normal,WD,TA,838,1086,IR1,TA,Y,1,78,nonappli,SBrkr,75,SBrkr
7,Crawfor,1,Gd,Gd,Gd,282,1,Unf,83,Detchd,BrkTil,Gd,9,70,5,Ex,Unf,2,MetalSd,MetalSd,None,2080,RL,9,2Story,No,Normal,WD,TA,804,1276,Reg,TA,Y,1,53,MnPrv,SBrkr,0,SBrkr
6,Gilbert,2,Gd,TA,TA,460,2,RFn,8,Attchd,PConc,TA,7,60,7,Ex,Unf,1,VinylSd,VinylSd,None,1647,RL,5,2Story,No,Normal,WD,TA,694,953,Reg,TA,Y,1,62,nonappli,SBrkr,40,SBrkr
6,SawyerW,2,Gd,Gd,Gd,533,2,RFn,15,Attchd,PConc,Fa,5,120,14,Ex,LwQ,1,Plywood,Plywood,None,1617,RL,5,1Story,No,Normal,WD,TA,0,1604,Reg,TA,Y,0,50,nonappli,SBrkr,69,SBrkr
5,Edwards,1,nonappli,TA,TA,252,1,RFn,50,Attchd,PConc,Gd,7,20,1,Ex,nonappli,1,Wd Sdng,Wd Sdng,BrkFace,1340,RL,6,1Story,nonappli,Normal,WD,TA,0,0,Reg,TA,Y,0,60,MnPrv,SBrkr,0,SBrkr
9,NridgHt,3,Ex,Ex,Ex,606,2,Fin,0,Attchd,PConc,Gd,8,20,0,Ex,GLQ,1,VinylSd,VinylSd,Stone,1940,RL,5,1Story,Av,Partial,New,TA,0,1930,IR1,TA,Y,1,83,nonappli,SBrkr,95,SBrkr
